filename	title	author	mode	text	wordindex	position	startsentence	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital.	913	0.0	1	36	0	0	0		913	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Holmes and Watson begin to investigate Dr. Mortimer's background and his connection to Charing Cross Hospital, in order to understand the reason behind his departure from the hospital and the significance of the stick.	913	0.0	1	36	0	1	0		913	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations.	1759	0.01544	37	74	0	1	25		846	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Dr. Mortimer explains the purpose of his visit to Sherlock Holmes, seeking his assistance in solving a mysterious case that disrupts their initial deductions.	1759	0.01544	37	74	0	2	25	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital.	846	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend.	2680	0.02976	75	116	0	2	63		921	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Holmes listens attentively as Dr. Mortimer reads the manuscript, and after hearing the story of the Hound of the Baskervilles, Holmes agrees to take on the case and begins formulating a plan to solve the mystery within the next few days.	2680	0.02976	75	116	0	3	63	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations.	921	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit.	3667	0.04534	117	144	0	3	95		987	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	As the three brave (or drunk) men ride forward down the goyal, they come face to face with the legendary Hound of the Baskervilles, unleashing chaos and terror upon them.	3667	0.04534	117	144	0	4	95	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend.	987	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	A gruesome scene is described where a young maiden is found dead alongside the body of Hugo Baskerville, both apparently killed by a large, demonic hound, which leads to the belief that the legend of the Hound of the Baskervilles is true; Dr. Mortimer then shares a newspaper article about the recent death of Sir Charles Baskerville, which dispels rumors of foul play and attributes his death to natural causes.	4453	0.06203	145	171	0	4	134		786	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Sherlock Holmes and Dr. Watson discuss the recent death of Sir Charles Baskerville and the rumors surrounding it, prompting them to investigate further and uncover the truth behind his untimely demise.	4453	0.06203	145	171	0	5	134	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend. The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit.	786	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Dr. Mortimer shares details of Sir Charles Baskerville's death, including his nightly walks, disappearance, and subsequent discovery of his body on the moor, as well as the lack of foul play and the potential heir to Baskerville Hall.	5406	0.07533	172	206	0	5	204		953	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Sherlock Holmes listens intently as Dr. Mortimer reveals the private details of the case, including his suspicions that there is a supernatural element at play in Sir Charles Baskerville's death, and requests Holmes' assistance in protecting the next heir, Mr. Henry Baskerville, from a similar fate.	5406	0.07533	172	206	0	6	204	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend. The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit. A gruesome scene is described where a young maiden is found dead alongside the body of Hugo Baskerville, both apparently killed by a large, demonic hound, which leads to the belief that the legend of the Hound of the Baskervilles is true; Dr. Mortimer then shares a newspaper article about the recent death of Sir Charles Baskerville, which dispels rumors of foul play and attributes his death to natural causes.	953	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Dr. Mortimer reveals to Sherlock Holmes that Sir Charles Baskerville was convinced of a dreadful fate looming over his family and shares an incident where Sir Charles saw a large black creature before his death, ultimately leading to the discovery of footprints belonging to a gigantic hound near the body.	6272	0.09145	207	240	0	6	242		866	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Sherlock Holmes and Dr. Watson decide to visit Baskerville Hall to investigate the mysterious death of Sir Charles Baskerville and the footprints of the gigantic hound, using the information provided by Dr. Mortimer.	6272	0.09145	207	240	0	7	242	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend. The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit. A gruesome scene is described where a young maiden is found dead alongside the body of Hugo Baskerville, both apparently killed by a large, demonic hound, which leads to the belief that the legend of the Hound of the Baskervilles is true; Dr. Mortimer then shares a newspaper article about the recent death of Sir Charles Baskerville, which dispels rumors of foul play and attributes his death to natural causes. Dr. Mortimer shares details of Sir Charles Baskerville's death, including his nightly walks, disappearance, and subsequent discovery of his body on the moor, as well as the lack of foul play and the potential heir to Baskerville Hall.	866	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Sherlock Holmes and Dr. Mortimer discuss the details of Sir Charles Baskerville's death, including the marks near the moor-gate and the supernatural sightings of a creature resembling the Hound of the Baskervilles, leading to the introduction of Sir Henry Baskerville as the heir.	7176	0.1061	241	270	0	7	292		904	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Sherlock Holmes advises Dr. Mortimer on how to handle the arrival of Sir Henry Baskerville, the heir to Baskerville Hall, who is expected at Waterloo Station in an hour and a quarter.	7176	0.1061	241	270	0	8	292	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend. The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit. A gruesome scene is described where a young maiden is found dead alongside the body of Hugo Baskerville, both apparently killed by a large, demonic hound, which leads to the belief that the legend of the Hound of the Baskervilles is true; Dr. Mortimer then shares a newspaper article about the recent death of Sir Charles Baskerville, which dispels rumors of foul play and attributes his death to natural causes. Dr. Mortimer shares details of Sir Charles Baskerville's death, including his nightly walks, disappearance, and subsequent discovery of his body on the moor, as well as the lack of foul play and the potential heir to Baskerville Hall. Dr. Mortimer reveals to Sherlock Holmes that Sir Charles Baskerville was convinced of a dreadful fate looming over his family and shares an incident where Sir Charles saw a large black creature before his death, ultimately leading to the discovery of footprints belonging to a gigantic hound near the body.	904	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Holmes advises Dr. Mortimer to meet Sir Henry Baskerville at Waterloo Station, and requests that they both visit him the next day, after which Holmes spends the day in mental concentration and returns to find the room filled with smoke from his pipe.	8092	0.12139	271	309	0	8	335		916	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	prediction	Holmes and Watson discuss the case of Sir Henry Baskerville, and Holmes asks Watson to gather a pound of strong shag tobacco before leaving for the day; when Watson returns in the evening, he finds Holmes in the sitting-room, surrounded by smoke from his pipe and rolls of paper, ready to compare their impressions and delve deeper into the intriguing problem before them.	8092	0.12139	271	309	0	9	335	Sherlock Holmes and Dr. Watson examine a visitor's walking stick, deducing that he is a country doctor who was formerly associated with Charing Cross Hospital. Sherlock Holmes deduces that the visitor, Dr. Mortimer, used to work at Charing Cross Hospital and has recently moved from a town hospital to a country practice, based on the condition of his walking stick and other observations. Dr. Mortimer visits Sherlock Holmes and presents him with an old manuscript detailing the legend of the Hound of the Baskervilles, seeking Holmes' assistance with a pressing matter connected to the legend. The legend of the Hound of the Baskervilles is recounted, telling the story of Hugo Baskerville's cruel actions towards a young maiden and his subsequent pursuit by demonic hounds, leaving the revellers in fear as they ride in pursuit. A gruesome scene is described where a young maiden is found dead alongside the body of Hugo Baskerville, both apparently killed by a large, demonic hound, which leads to the belief that the legend of the Hound of the Baskervilles is true; Dr. Mortimer then shares a newspaper article about the recent death of Sir Charles Baskerville, which dispels rumors of foul play and attributes his death to natural causes. Dr. Mortimer shares details of Sir Charles Baskerville's death, including his nightly walks, disappearance, and subsequent discovery of his body on the moor, as well as the lack of foul play and the potential heir to Baskerville Hall. Dr. Mortimer reveals to Sherlock Holmes that Sir Charles Baskerville was convinced of a dreadful fate looming over his family and shares an incident where Sir Charles saw a large black creature before his death, ultimately leading to the discovery of footprints belonging to a gigantic hound near the body. Sherlock Holmes and Dr. Mortimer discuss the details of Sir Charles Baskerville's death, including the marks near the moor-gate and the supernatural sightings of a creature resembling the Hound of the Baskervilles, leading to the introduction of Sir Henry Baskerville as the heir.	916	sentence
chapterbooks/HoundOfTheBaskervilles.txt	Twenty Thousand Leagues	Jules Verne	summary	Sherlock Holmes deduces details about the geography of the moor and discusses the possibility of a supernatural explanation for the mysterious events, ultimately deciding to postpone further investigation until meeting with Dr. Mortimer and Sir Henry Baskerville the next day.	8993	0.13689	310	353	0	9	378		901	H
