filename	title	author	mode	text	wordindex	position	startsentence	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	summary	The narrator reflects on the past year and the move to a new place, where their family faces uncertainty and struggles, but finds solace in their mother's faith and resilience.	950	0.0	1	41	0	0	0		950	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	prediction	The family settles into their new home on the land, facing the challenges of starting a new life and finding a sense of stability amidst uncertainty.	950	0.0	1	41	0	1	0		950	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	summary	The narrator reflects on their family's move to a new place, describing the old house, the land, and the changing seasons, while also mentioning the struggles of their father's work and the sense of isolation they feel.	1731	0.01953	42	66	0	1	30		781	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	prediction	The narrator's family continues to face the challenges of their new life, with the father working hard to provide and the mother finding solace in their alone time together, but the children still feeling the weight of uncertainty and the need to observe and remember every detail of their parents' interactions.	1731	0.01953	42	66	0	2	30	The narrator reflects on the past year and the move to a new place, where their family faces uncertainty and struggles, but finds solace in their mother's faith and resilience.	781	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	summary	The narrator and their siblings discuss their father's upcoming birthday and what gifts to give him, while reflecting on their family dynamics and the beauty of their surroundings.	2759	0.03559	67	124	0	2	67		1028	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	prediction	As they continue walking, Merle, Kerrin, and the narrator discuss what to give their father for his upcoming birthday, and the narrator struggles with their own feelings of inadequacy and self-doubt.	2759	0.03559	67	124	0	3	67	The narrator reflects on the past year and the move to a new place, where their family faces uncertainty and struggles, but finds solace in their mother's faith and resilience. The narrator reflects on their family's move to a new place, describing the old house, the land, and the changing seasons, while also mentioning the struggles of their father's work and the sense of isolation they feel.	1028	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	summary	The narrator's sister Kerrin expresses frustration with their father's treatment of her, while the mother tries to navigate their family dynamics; later, the family prepares for the father's birthday but can only invite themselves due to the unfamiliarity of their surroundings.	3561	0.05672	125	155	0	3	95		802	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	prediction	As the narrator and their family prepare for their father's birthday, they struggle with their feelings of isolation and the changes in their new environment, but find solace in the presence of their mother and the simple moments of joy that come from their shared activities.	3561	0.05672	125	155	0	4	95	The narrator reflects on the past year and the move to a new place, where their family faces uncertainty and struggles, but finds solace in their mother's faith and resilience. The narrator reflects on their family's move to a new place, describing the old house, the land, and the changing seasons, while also mentioning the struggles of their father's work and the sense of isolation they feel. The narrator and their siblings discuss their father's upcoming birthday and what gifts to give him, while reflecting on their family dynamics and the beauty of their surroundings.	802	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	summary	The narrator reflects on their fear of unfamiliar people and describes their neighbors, the Rathmans and the Ramseys, while preparing for their father's birthday party and contemplating what gift to give him.	4476	0.07321	156	186	0	4	136		915	sentence
chapterbooks/NowInNovember.txt	Now in November	Josephine W Johnson	prediction	The narrator and their siblings prepare for their father's birthday party, each with their own special gift, and anticipate a day filled with celebration and family bonding.	4476	0.07321	156	186	0	5	136	The narrator reflects on the past year and the move to a new place, where their family faces uncertainty and struggles, but finds solace in their mother's faith and resilience. The narrator reflects on their family's move to a new place, describing the old house, the land, and the changing seasons, while also mentioning the struggles of their father's work and the sense of isolation they feel. The narrator and their siblings discuss their father's upcoming birthday and what gifts to give him, while reflecting on their family dynamics and the beauty of their surroundings. The narrator's sister Kerrin expresses frustration with their father's treatment of her, while the mother tries to navigate their family dynamics; later, the family prepares for the father's birthday but can only invite themselves due to the unfamiliarity of their surroundings.	915	sentence
