filename	title	author	mode	text	wordindex	position	startsentence	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	summary	The passage introduces Sir Walter Elliot, a vain and wealthy man who is obsessed with his own lineage and appearance, and his late wife Lady Elliot, who was sensible and amiable, and left behind three daughters who are now under the care of their conceited father and their mother's friend Lady Russell.	928	0.0	1	23	0	0	0		928	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	prediction	Sir Walter Elliot receives an unexpected invitation to a social gathering, and contemplates attending as an opportunity to showcase his own wealth and status.	928	0.0	1	23	0	1	0		928	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	summary	The passage describes the relationships and desires of the Elliot family, including Sir Walter's vanity, Anne's faded beauty, Elizabeth's desire for a suitable marriage, and the disappointment caused by Mr. Elliot's marriage to a woman of lower social standing.	1784	0.01114	24	47	0	1	52		856	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	prediction	Elizabeth Elliot, still unmarried and feeling the weight of her approaching thirties, becomes increasingly desperate to secure a proposal from a suitable baronet within the next year or two, while Sir Walter harbors resentment towards the man who married a woman of inferior birth instead of pursuing his family's fortune.	1784	0.01114	24	47	0	2	52	The passage introduces Sir Walter Elliot, a vain and wealthy man who is obsessed with his own lineage and appearance, and his late wife Lady Elliot, who was sensible and amiable, and left behind three daughters who are now under the care of their conceited father and their mother's friend Lady Russell.	856	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	summary	Sir Walter Elliot and his daughter Elizabeth are faced with financial difficulties and seek advice from their friends on how to reduce their expenses without compromising their lifestyle or selling any part of their estate.	2611	0.02142	48	71	0	2	91		827	H
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	prediction	Elizabeth and Sir Walter Elliot seek advice from their friends, Mr. Shepherd and Lady Russell, in hopes of finding a solution to their financial troubles that will allow them to maintain their lifestyle without compromising their dignity or giving up their comforts.	2611	0.02142	48	71	0	3	91	The passage introduces Sir Walter Elliot, a vain and wealthy man who is obsessed with his own lineage and appearance, and his late wife Lady Elliot, who was sensible and amiable, and left behind three daughters who are now under the care of their conceited father and their mother's friend Lady Russell. The passage describes the relationships and desires of the Elliot family, including Sir Walter's vanity, Anne's faded beauty, Elizabeth's desire for a suitable marriage, and the disappointment caused by Mr. Elliot's marriage to a woman of lower social standing.	827	H
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	summary	Lady Russell and Anne propose a plan for Sir Walter and Elizabeth to reduce their expenses and clear their debts, but Sir Walter refuses to make the necessary sacrifices and threatens to leave Kellynch Hall rather than live on less luxurious terms.	3634	0.03135	72	104	0	3	126		1023	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	prediction	After Lady Russell's failed attempts to convince Sir Walter to adopt strict measures of retrenchment, Sir Walter decides to leave Kellynch Hall and begins making plans for a new residence, causing further uncertainty and indecision for the family.	3634	0.03135	72	104	0	4	126	The passage introduces Sir Walter Elliot, a vain and wealthy man who is obsessed with his own lineage and appearance, and his late wife Lady Elliot, who was sensible and amiable, and left behind three daughters who are now under the care of their conceited father and their mother's friend Lady Russell. The passage describes the relationships and desires of the Elliot family, including Sir Walter's vanity, Anne's faded beauty, Elizabeth's desire for a suitable marriage, and the disappointment caused by Mr. Elliot's marriage to a woman of lower social standing. Sir Walter Elliot and his daughter Elizabeth are faced with financial difficulties and seek advice from their friends on how to reduce their expenses without compromising their lifestyle or selling any part of their estate.	1023	sentence
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	summary	Anne's desire to live in a small house near Kellynch is disregarded as Sir Walter and Elizabeth are convinced to move to Bath, much to Lady Russell's satisfaction, and plans are made to let Kellynch Hall; Lady Russell is glad for the move as it interrupts Elizabeth's growing friendship with Mrs. Clay, whom she considers an unsuitable and dangerous companion.	4581	0.04363	105	137	0	4	168		947	H
chapterbooks/Persuasion.txt	Persuasion	Jane Austen	prediction	Anne reluctantly moves to Bath with Sir Walter and Elizabeth, where she must navigate the social scene and encounter Mrs. Clay, whom Elizabeth has formed an intimacy with, causing tension and concern for Lady Russell.	4581	0.04363	105	137	0	5	168	The passage introduces Sir Walter Elliot, a vain and wealthy man who is obsessed with his own lineage and appearance, and his late wife Lady Elliot, who was sensible and amiable, and left behind three daughters who are now under the care of their conceited father and their mother's friend Lady Russell. The passage describes the relationships and desires of the Elliot family, including Sir Walter's vanity, Anne's faded beauty, Elizabeth's desire for a suitable marriage, and the disappointment caused by Mr. Elliot's marriage to a woman of lower social standing. Sir Walter Elliot and his daughter Elizabeth are faced with financial difficulties and seek advice from their friends on how to reduce their expenses without compromising their lifestyle or selling any part of their estate. Lady Russell and Anne propose a plan for Sir Walter and Elizabeth to reduce their expenses and clear their debts, but Sir Walter refuses to make the necessary sacrifices and threatens to leave Kellynch Hall rather than live on less luxurious terms.	947	H
