filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures.	1015	44	0	0	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	The family faces the challenges of farming on mortgaged land, with the father's doubts and uncertainties contrasting with the mother's faith and inner peace, while the children embrace the sense of adventure in their new surroundings.	1015	44	1	0	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to.	2019	81	1	28	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Merle proposes a birthday party for their father, but Kerrin questions the source of money for presents. Merle admits to earning money and buying a knife as a gift, which makes the narrator feel jealous and embarrassed.	2019	81	2	28	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination.	3031	134	2	56	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin storms off, leaving the narrator and Merle behind. The narrator and Merle discuss their gift ideas and continue walking together. They finally reach their destination and discover what the narrator plans to give as a gift.	3031	134	3	56	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun.	4062	170	3	79	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	The narrator and their siblings continue planning for their father's birthday party, making preparations and deciding who to invite.	4062	170	4	79	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin.	5116	207	4	110	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin's behavior becomes increasingly unsettling for the narrator, intensifying their fear and unease. The narrator chooses to abandon the unfinished pot and retreat to the familiarity and safety of their home.	5116	207	5	110	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room.	6151	252	5	140	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin is banished from the room by her father after accidentally injuring their dog, Cale, while the rest of the family tends to the wounded animal.	6151	252	6	140	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Kerrin accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin's mother rushes out in a black rage, and their father believes Kerrin killed the dog.	7156	301	6	164	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin's parents confront Kerrin outside, blaming each other for the incident. Kerrin runs away in the rain, while the narrator and Merle stay behind, feeling sad and sick.	7156	301	7	164	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin. Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator reflects on their family's struggle with debt and their father's intense desire for security, while observing the slow arrival of spring and the hard work on the land.	8160	356	7	193	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	The family perseveres through challenges, working tirelessly on the land to overcome their debt and find happiness.	8160	356	8	193	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin. Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin's mother rushes out in a black rage, and their father believes Kerrin killed the dog.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator reflects on the hope and uncertainty of the upcoming year, and expresses concern about Kerrin's behavior and its impact on the family.	9175	395	8	223	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin's behavior continues to cause tension within the family, leading to further conflict and challenges. The narrator and their siblings struggle to find peace and stability amidst Kerrin's presence.	9175	395	9	223	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin. Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin's mother rushes out in a black rage, and their father believes Kerrin killed the dog. The narrator reflects on their family's struggle with debt and their father's intense desire for security, while observing the slow arrival of spring and the hard work on the land.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Kerrin's restless and uncertain moods are observed, and her lack of contribution to the family's work on the land is noted. The narrator reflects on Kerrin's desire for love and her restless pursuit of it, as well as their own longing for something more.	10189	427	9	247	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Kerrin continues her search for love through reckless behavior, while the narrator grapples with their own desires and dreams, but remains grounded in reality and humor.	10189	427	10	247	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin. Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin's mother rushes out in a black rage, and their father believes Kerrin killed the dog. The narrator reflects on their family's struggle with debt and their father's intense desire for security, while observing the slow arrival of spring and the hard work on the land. The narrator reflects on the hope and uncertainty of the upcoming year, and expresses concern about Kerrin's behavior and its impact on the family.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	The narrator reflects on their father's birthday and the family's struggle with debt, while their father expresses frustration over losing a worker and the uncertainty of their farming endeavors.	11220	480	10	291	
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	prediction	Father's frustration grows as he struggles to find help for the farm, while the narrator feels a mixture of hate and pity towards him. Kerrin's absence during supper raises suspicions, and the narrator reflects on their family's heavy burden and lack of money.	11220	480	11	291	The narrator reflects on the past year and describes their family's move to a new place, which is an old house on mortgaged land with orchards and pastures. Merle fills an old thrush's nest with stones and places it on the mantelpiece, while the narrator reflects on the changing and beautiful land they have moved to. Kerrin gets angry and confrontational when the narrator tries to offer some advice, but the group eventually continues walking together towards their destination. The narrator and their siblings return home to find their mother cutting up potatoes for seed and engage in a conversation about their day, while enjoying the calmness of the sun. The narrator reflects on their family's preparations for their father's upcoming birthday, including making a clay pot as a gift, while also observing the peculiar behavior of their sister Kerrin. Kerrin presents her father with a folded knife as a gift, but accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin accidentally slashes their dog, Cale, causing chaos and anger in the room. Kerrin's mother rushes out in a black rage, and their father believes Kerrin killed the dog. The narrator reflects on their family's struggle with debt and their father's intense desire for security, while observing the slow arrival of spring and the hard work on the land. The narrator reflects on the hope and uncertainty of the upcoming year, and expresses concern about Kerrin's behavior and its impact on the family. Kerrin's restless and uncertain moods are observed, and her lack of contribution to the family's work on the land is noted. The narrator reflects on Kerrin's desire for love and her restless pursuit of it, as well as their own longing for something more.
00010444.txt	Now in November	Josephine Winslow Johnson	Turbo-4-0.5	summary	Grant, a man who has been away for five years, is expected to arrive at the narrator's house, and the narrator reflects on their anticipation and hope for a change in the upcoming year.	12238	528	11	320	
