filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce.	1004	54	0	0	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Helen Crocker provides Perry Mason with more details about her friend's situation, including her friend's relationship with another man and her curiosity about the legal implications of not finding her husband's body. Perry Mason agrees to take on the case and starts investigating the husband's disappearance.	1004	54	1	0	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter.	2008	112	1	34	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Helen Crocker's friend confronts Perry Mason about her situation and demands answers.	2008	112	2	34	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce.
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	Perry Mason realizes that the woman who came to seek his help has lost confidence in herself and feels guilty for not giving her the assistance she needed. Meanwhile, Paul Drake, a detective, arrives at Mason's office and informs him that a man was tailing the woman who just left.	3012	173	2	62	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Paul Drake tells Perry Mason that the man who was tailing the woman came from Mason's office. Mason agrees to investigate further and learn more about the woman and her connection to the man.	3012	173	3	62	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce. Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter.
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	The detective, Paul Drake, informs Perry Mason that a man was tailing the woman who had just left Mason's office.	4045	241	3	112	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Helen Crocker will attempt to contact Perry Mason again, but her attempts will be unsuccessful. Mason will continue to investigate the man who was tailing her and uncover more information about his motives.	4045	241	4	112	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce. Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter. Perry Mason realizes that the woman who came to seek his help has lost confidence in herself and feels guilty for not giving her the assistance she needed. Meanwhile, Paul Drake, a detective, arrives at Mason's office and informs him that a man was tailing the woman who just left.
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	Perry Mason finds a purse left behind by a woman who visited his office, and he proceeds to inventory its contents.	5049	305	4	132	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Perry Mason decides to track down the woman who left the purse and confront her about the gun and other items he found. He goes to her address and delivers a telegram, then insists on talking to her inside her house.	5049	305	5	132	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce. Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter. Perry Mason realizes that the woman who came to seek his help has lost confidence in herself and feels guilty for not giving her the assistance she needed. Meanwhile, Paul Drake, a detective, arrives at Mason's office and informs him that a man was tailing the woman who just left. The detective, Paul Drake, informs Perry Mason that a man was tailing the woman who had just left Mason's office.
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	Perry Mason questions Nell Brinley about her involvement with R. Montaine and the telegram, revealing that he is not a detective but a friend of Rhoda's.	6078	365	5	153	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Nell Brinley relays the message to Rhoda Montaine to go back to the lawyer she visited earlier, and Rhoda contacts Perry Mason to find out what he wants.	6078	365	6	153	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce. Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter. Perry Mason realizes that the woman who came to seek his help has lost confidence in herself and feels guilty for not giving her the assistance she needed. Meanwhile, Paul Drake, a detective, arrives at Mason's office and informs him that a man was tailing the woman who just left. The detective, Paul Drake, informs Perry Mason that a man was tailing the woman who had just left Mason's office. Perry Mason finds a purse left behind by a woman who visited his office, and he proceeds to inventory its contents.
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	summary	Perry Mason makes a phone call from a candy store to his secretary, Della Street, instructing her to contact Nell Brinley and give her a fake message from Gregory. He also asks Della to gather information about Rhoda Montaine's marriage license and to have Paul Drake investigate the addresses and phone number associated with Montaine.	7081	423	6	179	
00010664.txt	The Case of the Curious Bride	Erle Stanley Gardner	Turbo-0	prediction	Della informs Mason about the marriage license and the recent water and gas connection at 2309 Hawthorne Avenue. Mason decides to stay involved and instructs Della to hold Rhoda Montaine if she calls, using her real name and address as leverage.	7081	423	7	179	The woman, Helen Crocker, visits lawyer Perry Mason to seek his help in collecting her friend's life insurance after her husband's disappearance and to inquire about her friend's right to remarry without a divorce. Helen Crocker visits lawyer Perry Mason to seek information on behalf of her friend, but Mason insists that her friend must come in person to discuss the matter. Perry Mason realizes that the woman who came to seek his help has lost confidence in herself and feels guilty for not giving her the assistance she needed. Meanwhile, Paul Drake, a detective, arrives at Mason's office and informs him that a man was tailing the woman who just left. The detective, Paul Drake, informs Perry Mason that a man was tailing the woman who had just left Mason's office. Perry Mason finds a purse left behind by a woman who visited his office, and he proceeds to inventory its contents. Perry Mason questions Nell Brinley about her involvement with R. Montaine and the telegram, revealing that he is not a detective but a friend of Rhoda's.
