filename	title	author	reader	mode	text	wordindex	sentindex	chunkindex	recaplen	recaptext
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school.	1007	70	0	0	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen faces more struggles and triumphs during his time at school, finding refuge in the study hall and longing for the lights of the castle.	1007	70	1	0	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen Dedalus recalls memories from his childhood, including thoughts about Leicester Abbey, his experiences at school, and his family.	2011	134	1	21	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen continues to reminisce about his family and his experiences at school, including interactions with classmates and teachers.	2011	134	2	21	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen longs to be at home with his mother, but instead, he drinks tea with his classmates and tries to hide his feelings of sickness and sadness.	3017	195	2	40	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen struggles with his sense of belonging and identity as he confronts the expectations and judgments of his classmates. He faces moments of uncertainty and confusion about what is right and wrong, trying to navigate his way through the complexities of social interactions and personal values.	3017	195	3	40	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school. Stephen Dedalus recalls memories from his childhood, including thoughts about Leicester Abbey, his experiences at school, and his family.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen Dedalus reads a book, contemplates the concept of God and the universe, feels small and weak, and then goes to night prayers.	4033	261	3	67	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen finishes his prayers, gets dressed, and goes to bed before the gas is lowered in the dormitory.	4033	261	4	67	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school. Stephen Dedalus recalls memories from his childhood, including thoughts about Leicester Abbey, his experiences at school, and his family. Stephen longs to be at home with his mother, but instead, he drinks tea with his classmates and tries to hide his feelings of sickness and sadness.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen Dedalus says his prayers and goes to bed, feeling scared and trembling, but comforted by the thought that he won't go to hell when he dies.	5039	334	4	90	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen wakes up feeling sick and talks with his dorm-mates about being pushed into a ditch, but they leave for mass without resolving the issue.	5039	334	5	90	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school. Stephen Dedalus recalls memories from his childhood, including thoughts about Leicester Abbey, his experiences at school, and his family. Stephen longs to be at home with his mother, but instead, he drinks tea with his classmates and tries to hide his feelings of sickness and sadness. Stephen Dedalus reads a book, contemplates the concept of God and the universe, feels small and weak, and then goes to night prayers.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen Dedalus is in the infirmary, feeling sick and scared, and reminiscing about his encounters with his classmates and experiences at school.	6042	406	5	117	
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	prediction	Stephen Dedalus receives care and treatment in the infirmary, reflecting on his illness and the possibility of death.	6042	406	6	117	A young boy named Stephen Dedalus recalls his childhood memories, including encounters with his family, friends, and his experiences at school. Stephen Dedalus recalls memories from his childhood, including thoughts about Leicester Abbey, his experiences at school, and his family. Stephen longs to be at home with his mother, but instead, he drinks tea with his classmates and tries to hide his feelings of sickness and sadness. Stephen Dedalus reads a book, contemplates the concept of God and the universe, feels small and weak, and then goes to night prayers. Stephen Dedalus says his prayers and goes to bed, feeling scared and trembling, but comforted by the thought that he won't go to hell when he dies.
00004880.txt	Portrait of the Artist as a Young Man	James Joyce	Turbo-1.0	summary	Stephen Dedalus remembers a conversation with a classmate named Athy, who tells him a riddle and teases him about his name.	7058	471	6	139	
