filename	title	author	mode	text	wordindex	position	sentindex	passindex	chunkindex	recaplen	recaptext	passage_length	divide_type
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	summary	The passage describes a remote and poverty-stricken island, Innishmore, where the arrival of a sorrowful man, John Luttrell, his consumptive wife, and their bold and beautiful child, the Prince, creates a stir among the islanders who are fascinated by their presence but have little interaction with them.	968	0.0	24	0	0	0		968	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	prediction	The islanders become increasingly curious about the new arrivals and their background, and start to speculate about the reasons behind their choice to live in such a desolate place.	968	0.0	24	0	1	0		968	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	summary	The islanders are both fascinated and fearful of the sorrowful man, John Luttrell, and his family, who are seen as outsiders due to their appearance and mysterious habits, while Luttrell's wife passes away and he has a tense conversation with the priest about their relationship.	1858	0.00441	58	0	1	47		890	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	prediction	After receiving news of his wife's death, Luttrell confronts the priest about his secrecy and expresses his bitterness towards society's judgment of his marriage.	1858	0.00441	58	0	2	47	The passage describes a remote and poverty-stricken island, Innishmore, where the arrival of a sorrowful man, John Luttrell, his consumptive wife, and their bold and beautiful child, the Prince, creates a stir among the islanders who are fascinated by their presence but have little interaction with them.	890	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	summary	John Luttrell has a tense conversation with the priest about his wife's funeral and the upbringing of their son, while Luttrell mourns his wife's death in seclusion and sends for her relatives to attend the funeral.	2701	0.00847	103	0	2	92		843	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	prediction	Despite his initial reluctance, Luttrell will eventually contact his late wife's relatives and reluctantly allow them to attend the funeral, but he will remain distant and detached from the proceedings, refusing to let anyone enter his room.	2701	0.00847	103	0	3	92	The passage describes a remote and poverty-stricken island, Innishmore, where the arrival of a sorrowful man, John Luttrell, his consumptive wife, and their bold and beautiful child, the Prince, creates a stir among the islanders who are fascinated by their presence but have little interaction with them. The islanders are both fascinated and fearful of the sorrowful man, John Luttrell, and his family, who are seen as outsiders due to their appearance and mysterious habits, while Luttrell's wife passes away and he has a tense conversation with the priest about their relationship.	843	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	summary	John Luttrell has a tense conversation with a peasant woman about the arrangements for his wife's funeral, and then a yacht owned by Sir Gervais Vyner arrives in a remote bay on Innishmore, creating a stark contrast between wealth and poverty.	3666	0.01231	141	0	3	128		965	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	prediction	Sir Gervais Vyner and his friend Grenfell disembark from their yacht and make their way towards the island, where their presence will undoubtedly cause a stir among the islanders.	3666	0.01231	141	0	4	128	The passage describes a remote and poverty-stricken island, Innishmore, where the arrival of a sorrowful man, John Luttrell, his consumptive wife, and their bold and beautiful child, the Prince, creates a stir among the islanders who are fascinated by their presence but have little interaction with them. The islanders are both fascinated and fearful of the sorrowful man, John Luttrell, and his family, who are seen as outsiders due to their appearance and mysterious habits, while Luttrell's wife passes away and he has a tense conversation with the priest about their relationship. John Luttrell has a tense conversation with the priest about his wife's funeral and the upbringing of their son, while Luttrell mourns his wife's death in seclusion and sends for her relatives to attend the funeral.	965	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	summary	Sir Gervais Vyner, accompanied by his daughter Ada and her governess Mademoiselle Heinzleman, arrives on the remote and poverty-stricken island of Innishmore on his yacht, causing a contrast between wealth and poverty, and a tense dynamic between Vyner and his companion Grenfell as well as between Grenfell and Mademoiselle Heinzleman.	4469	0.01671	170	0	4	169		803	sentence
chapterbooks/LuttrellOfAranGB.txt	Luttrell of Aran	Charles Lever	prediction	During their stay on Innishmore, Vyner and Grenfell encounter a conflict with the locals, leading to a tense situation that escalates quickly.	4469	0.01671	170	0	5	169	The passage describes a remote and poverty-stricken island, Innishmore, where the arrival of a sorrowful man, John Luttrell, his consumptive wife, and their bold and beautiful child, the Prince, creates a stir among the islanders who are fascinated by their presence but have little interaction with them. The islanders are both fascinated and fearful of the sorrowful man, John Luttrell, and his family, who are seen as outsiders due to their appearance and mysterious habits, while Luttrell's wife passes away and he has a tense conversation with the priest about their relationship. John Luttrell has a tense conversation with the priest about his wife's funeral and the upbringing of their son, while Luttrell mourns his wife's death in seclusion and sends for her relatives to attend the funeral. John Luttrell has a tense conversation with a peasant woman about the arrangements for his wife's funeral, and then a yacht owned by Sir Gervais Vyner arrives in a remote bay on Innishmore, creating a stark contrast between wealth and poverty.	803	sentence
